From,To,Weight,Level,Strategy,Score,Reason,ParentPath
11.35,46.06,1,1,top-k,,Selecionada via top-K de peso na origem,11.35
11.35,7.05,1,1,top-k,,Selecionada via top-K de peso na origem,11.35
46.06,8.97,1,2,top-k,,Selecionada via top-K de peso na origem,11.35 -> 46.06
7.05,10.03,1,2,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05
7.05,18.09,1,2,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05
8.97,19.2,1,3,top-k,,Selecionada via top-K de peso na origem,11.35 -> 46.06 -> 8.97
10.03,37.61,1,3,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 10.03
18.09,5.29,1,3,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 18.09
19.2,19.83,1,4,top-k,,Selecionada via top-K de peso na origem,11.35 -> 46.06 -> 8.97 -> 19.2
37.61,48.54,1,4,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 10.03 -> 37.61
5.29,7.96,1,4,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 18.09 -> 5.29
19.83,10.8,1,5,top-k,,Selecionada via top-K de peso na origem,11.35 -> 46.06 -> 8.97 -> 19.2 -> 19.83
19.83,4.56,1,5,top-k,,Selecionada via top-K de peso na origem,11.35 -> 46.06 -> 8.97 -> 19.2 -> 19.83
48.54,18.2,1,5,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 10.03 -> 37.61 -> 48.54
7.96,6.86,1,5,top-k,,Selecionada via top-K de peso na origem,11.35 -> 7.05 -> 18.09 -> 5.29 -> 7.96
