Source,Target,Frequency
418754,73819,1
73819,23795,1
23795,27130,1
27130,8604,1
8604,30577,1
30577,28117,1
28117,8095,1
8095,3257,1
3257,18870,1
18870,27260,1
27260,41210,1
41210,1628,1
1628,35992,1
35992,5738,1
5738,1049,1
1049,5038,1
45475,222134,1
222134,10838,1
10838,11168,1
11168,3019,1
3019,9533,1
9533,6317,1
6317,6562,1
6562,2450,1
2450,7681,1
7681,3491,1
3491,10053,1
10053,427,1
427,8527,1
8527,5870,1
5870,181,1
181,696,1
16518,7933,1
7933,71883,1
71883,3621,1
3621,1409,1
1409,2842,1
2842,741,1
741,1256,1
1256,4816,1
4816,2503,1
2503,2987,1
2987,4188,1
4188,727,1
727,2715,1
2715,2676,1
2676,26,1
26,654,1
21565,11300,1
11300,3629,1
3629,224830,1
224830,1488,1
1488,5016,1
5016,21398,1
21398,4026,1
4026,7293,1
7293,2554,1
2554,2489,1
2489,3228,1
3228,2218,1
2218,4246,1
4246,901,1
901,61,1
61,264,1
5786,2736,1
2736,849,1
849,799,1
799,118897,1
118897,2223,1
2223,327,1
327,888,1
888,1346,1
1346,534,1
534,771,1
771,640,1
640,163,1
163,631,1
631,1763,1
1763,244,1
244,75,1
18175,10710,1
10710,5928,1
5928,7074,1
7074,2770,1
2770,143733,1
143733,36781,1
36781,4433,1
4433,7672,1
7672,6437,1
6437,2807,1
2807,4059,1
4059,2813,1
2813,3429,1
3429,11516,1
11516,366,1
366,202,1
25214,3266,1
3266,811,1
811,32921,1
32921,302,1
302,29206,1
29206,177487,1
177487,1021,1
1021,7399,1
7399,2069,1
2069,453,1
453,955,1
955,7983,1
7983,2719,1
2719,930,1
930,28,1
28,126,1
6241,8169,1
8169,1475,1
1475,3350,1
3350,942,1
942,3225,1
3225,2581,1
2581,329097,1
329097,3100,1
3100,1005,1
1005,987,1
987,1319,1
1319,1857,1
1857,2372,1
2372,302,1
302,29,1
29,81,1
10065,4204,1
4204,5304,1
5304,9981,1
9981,2807,1
2807,3786,1
3786,9541,1
9541,4718,1
4718,80554,1
80554,1090,1
1090,2046,1
2046,4049,1
4049,5070,1
5070,672,1
672,44,1
44,8,1
8,14,1
11945,7165,1
7165,2825,1
2825,1826,1
1826,831,1
831,4601,1
4601,2024,1
2024,729,1
729,1172,1
1172,67454,1
67454,1536,1
1536,2209,1
2209,154,1
154,1141,1
1141,2249,1
2249,34,1
34,239,1
19014,3991,1
3991,1816,1
1816,2367,1
2367,1504,1
1504,2970,1
2970,641,1
641,676,1
676,1231,1
1231,1615,1
1615,30492,1
30492,1444,1
1444,318,1
318,1762,1
1762,1471,1
1471,21,1
21,2927,1
27158,8574,1
8574,5677,1
5677,3361,1
3361,1022,1
1022,2933,1
2933,1566,1
1566,1391,1
1391,5536,1
5536,2414,1
2414,1764,1
1764,129732,1
129732,947,1
947,5323,1
5323,1251,1
1251,67,1
67,279,1
2898,191,1
191,601,1
601,1801,1
1801,99,1
99,1501,1
1501,8437,1
8437,2442,1
2442,3747,1
3747,106,1
106,312,1
312,623,1
623,118967,1
118967,18089,1
18089,16,1
16,12,1
12,2,1
26362,4827,1
4827,2557,1
2557,3352,1
3352,567,1
567,2179,1
2179,3342,1
3342,1497,1
1497,1470,1
1470,954,1
954,1297,1
1297,2864,1
2864,9730,1
9730,252270,1
252270,828,1
828,508,1
508,245,1
3514,4951,1
4951,2408,1
2408,1043,1
1043,2487,1
2487,6575,1
6575,2037,1
2037,429,1
429,201,1
201,2848,1
2848,2154,1
2154,1130,1
1130,65,1
65,1355,1
1355,13449,1
13449,29,1
29,156,1
691,223,1
223,32,1
32,45,1
45,137,1
137,284,1
284,27,1
27,16,1
16,19,1
19,49,1
49,18,1
18,50,1
50,9,1
9,402,1
402,45,1
45,22144,1
22144,2,1
3707,784,1
784,370,1
370,337,1
337,187,1
187,372,1
372,550,1
550,144,1
144,66,1
66,281,1
281,1605,1
1605,278,1
278,18,1
18,262,1
262,145,1
145,2,1
2,4443,1
